Division,MatchDate,MatchTime,HomeTeam,AwayTeam,FTHome,FTAway,FTResult,HTHome,HTAway,HTResult,OddHome,OddDraw,OddAway,MaxHome,MaxDraw,MaxAway,MaxUnder25,MaxOver25,HomeElo,AwayElo,elo_diff,elo_sum,elo_mismatch,elo_mismatch_flag,Form3Home,Form5Home,Form3Away,Form5Away,Form3Home_ratio,Form5Home_ratio,Form3Away_ratio,Form5Away_ratio,form_diff_3,form_diff_5,form_momentum_home,form_momentum_away,form_momentum,home_rest_days,away_rest_days,rest_diff,rest_diff_nonlinear,home_congestion_14d,away_congestion_14d,is_midweek,is_early_kickoff,is_evening_match,winter_period,season_phase,match_week,h2h_home_wins,h2h_away_wins,h2h_draws,h2h_home_goals_diff,h2h_home_venue_record,h2h_matches_count,home_team_home_ppg,home_team_goals_scored_avg,home_team_goals_conceded_avg,away_team_away_ppg,away_team_goals_scored_avg,away_team_goals_conceded_avg,venue_ppg_diff,overround,odds_disagreement,sharp_money_home,sharp_money_away,elo_vs_odds_home,home_shots_avg,home_shots_against_avg,away_shots_avg,away_shots_against_avg,shots_dominance_home,shots_dominance_away,corners_diff,discipline_diff,target_home,target_draw,target_away,target_UNDER25
DEN,2025-03-09,15:00,Aarhus,Viborg,1.0,1.0,D,,,,1.56,3.93,6.02,1.6,4.1,6.4,,,1660.6,1495.3,165.3,3156.0,0.0524,0,7,8,3,3,0.7778,0.5333,0.3333,0.2,4,5,6,3,3,9,7,2,0,2,2,0,0,0,0,3,32,6,2,2,10,1.0,10,2.2,2.5,0.9,1.0,1.6,1.6,1.2,1.0616,0.0631,0.0256,0.0631,0.191,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,1,0,1
DEN,2025-03-09,17:00,FC Copenhagen,Sonderjyske,1.0,1.0,D,,,,1.29,5.62,9.28,1.32,6.1,11.0,,,1748.2,1390.0,358.2,3138.3,0.1142,1,7,13,0,4,0.7778,0.8667,0.0,0.2667,7,9,1,-4,5,7,7,0,0,2,2,0,0,0,0,3,32,9,0,1,17,1.0,10,2.4,2.2,0.8,0.7,1.1,2.2,1.7,1.0609,0.1853,0.0233,0.1853,0.191,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,1,0,1
DEN,2025-03-09,13:00,Silkeborg,Lyngby,0.0,1.0,A,,,,1.67,3.87,4.92,1.74,4.01,5.26,,,1586.5,1443.3,143.2,3029.9,0.0473,0,6,7,2,2,0.6667,0.4667,0.2222,0.1333,4,5,5,2,3,7,6,1,0,2,1,0,1,0,0,3,32,3,4,3,3,0.6,10,1.3,1.6,1.5,0.6,0.8,1.7,0.7,1.0605,0.0691,0.0419,0.0691,0.2087,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,0,1,1
DEN,2025-03-10,18:00,Randers FC,Brondby,4.0,2.0,H,,,,3.26,3.28,2.24,3.43,3.41,2.32,,,1570.0,1671.6,-101.6,3241.5,0.0313,0,2,6,5,8,0.2222,0.4,0.5556,0.5333,-3,-2,-2,2,-4,10,7,3,1,1,1,0,0,0,0,3,32,1,5,4,-5,0.0,10,1.3,1.4,1.1,1.5,2.2,1.7,-0.2,1.0581,0.0521,0.0521,0.0357,0.1647,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,1,0,0,0
DEN,2025-03-16,16:00,Brondby,Silkeborg,2.0,2.0,D,,,,1.64,4.0,4.95,1.71,4.21,5.3,,,1654.9,1571.7,83.2,3226.6,0.0258,0,2,5,6,6,0.2222,0.3333,0.6667,0.4,-4,-1,-1,6,-7,6,7,-1,0,2,2,0,0,0,0,3,33,5,2,3,3,0.6,10,1.6,1.4,0.9,1.6,1.9,1.4,0.0,1.0618,0.0707,0.0427,0.0707,0.1329,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,1,0,0
DEN,2025-03-16,16:00,Lyngby,Nordsjaelland,1.0,0.0,H,,,,4.07,3.75,1.82,4.23,3.96,1.9,,,1458.2,1686.9,-228.8,3145.1,0.0727,1,5,5,6,12,0.5556,0.3333,0.6667,0.8,-1,-7,5,0,5,7,9,-2,-1,2,2,0,0,0,0,3,33,0,5,5,-9,0.0,10,0.8,0.6,1.2,1.0,1.5,2.3,-0.2,1.0618,0.056,0.0393,0.044,0.0548,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,1,0,0,1
DEN,2025-03-16,16:00,Midtjylland,Randers FC,4.0,2.0,H,,,,1.87,3.6,4.01,1.95,3.71,4.27,,,1725.2,1586.6,138.6,3311.8,0.0418,0,6,12,5,6,0.6667,0.8,0.5556,0.4,1,6,0,4,-4,7,6,1,0,2,1,0,0,0,0,3,33,5,0,5,7,0.25,10,2.7,1.9,1.1,1.7,1.7,1.1,1.0,1.0619,0.0648,0.0428,0.0648,0.2651,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,1,0,0,0
DEN,2025-03-16,16:00,Sonderjyske,Aalborg,0.0,3.0,A,,,,2.41,3.44,2.83,2.53,3.64,3.05,,,1398.2,1454.2,-56.1,2852.4,0.0197,0,1,4,1,4,0.1111,0.2667,0.1111,0.2667,0,0,-2,-2,0,7,7,0,0,2,2,0,0,0,0,3,33,1,9,0,-19,0.3333333333333333,10,0.8,1.3,2.6,0.9,1.1,1.9,-0.1,1.059,0.0777,0.0498,0.0777,0.1282,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,0,1,0
DEN,2025-03-16,16:00,Vejle,Aarhus,3.0,2.0,H,,,,5.61,3.95,1.59,6.16,4.1,1.65,,,1424.0,1655.3,-231.3,3079.3,0.0751,1,1,7,5,8,0.1111,0.4667,0.5556,0.5333,-4,-1,-5,2,-7,9,7,2,0,2,1,0,0,0,0,3,33,3,4,3,-4,0.75,10,0.6,0.9,2.0,1.3,1.0,0.9,-0.7,1.0603,0.098,0.098,0.0377,0.1151,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,1,0,0,0
DEN,2025-03-16,16:00,Viborg,FC Copenhagen,3.0,2.0,H,,,,4.52,3.59,1.79,4.78,3.71,1.9,,,1500.7,1740.1,-239.4,3240.7,0.0739,1,4,4,5,11,0.4444,0.2667,0.5556,0.7333,-1,-7,4,-1,5,7,7,0,0,2,2,0,0,0,0,3,33,2,6,2,-6,0.5,10,1.3,1.8,1.9,1.6,1.5,1.1,-0.3,1.0584,0.0615,0.0575,0.0615,0.0648,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,1,0,0,0
