Division,MatchDate,MatchTime,HomeTeam,AwayTeam,FTHome,FTAway,FTResult,HTHome,HTAway,HTResult,OddHome,OddDraw,OddAway,MaxHome,MaxDraw,MaxAway,MaxUnder25,MaxOver25,HomeElo,AwayElo,elo_diff,elo_sum,elo_mismatch,elo_mismatch_flag,Form3Home,Form5Home,Form3Away,Form5Away,Form3Home_ratio,Form5Home_ratio,Form3Away_ratio,Form5Away_ratio,form_diff_3,form_diff_5,form_momentum_home,form_momentum_away,form_momentum,home_rest_days,away_rest_days,rest_diff,rest_diff_nonlinear,home_congestion_14d,away_congestion_14d,is_midweek,is_early_kickoff,is_evening_match,winter_period,season_phase,match_week,h2h_home_wins,h2h_away_wins,h2h_draws,h2h_home_goals_diff,h2h_home_venue_record,h2h_matches_count,home_team_home_ppg,home_team_goals_scored_avg,home_team_goals_conceded_avg,away_team_away_ppg,away_team_goals_scored_avg,away_team_goals_conceded_avg,venue_ppg_diff,overround,odds_disagreement,sharp_money_home,sharp_money_away,elo_vs_odds_home,home_shots_avg,home_shots_against_avg,away_shots_avg,away_shots_against_avg,shots_dominance_home,shots_dominance_away,corners_diff,discipline_diff,target_home,target_draw,target_away,target_UNDER25
AUT,2025-03-01,16:00:00,Grazer AK,Austria Vienna,1.0,2.0,A,,,,4.18,3.51,1.85,4.63,3.61,1.92,,,1454.9,1652.0,-197.1,3106.9,0.0634,0,4,4,4,10,0.4444,0.2667,0.4444,0.6667,0,-6,4,-2,6,7,7,0,0,2,2,0,0,0,0,3,31,0,2,0,-2,0.5,2,0.7,1.3,1.9,1.5,1.1,1.0,-0.8,1.0647,0.1077,0.1077,0.0378,0.1002,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,0,1,0
AUT,2025-03-02,13:30:00,A. Klagenfurt,LASK,1.0,2.0,A,,,,4.02,3.51,1.89,4.24,3.65,1.96,,,1480.1,1613.2,-133.1,3093.3,0.043,0,5,5,5,6,0.5556,0.3333,0.5556,0.4,0,-1,5,4,1,8,7,1,0,2,2,0,0,0,0,3,31,0,6,4,-17,0.0,10,1.3,1.3,1.3,1.4,1.1,1.1,-0.1,1.0628,0.0547,0.0547,0.037,0.1761,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,0,1,0
AUT,2025-03-02,13:30:00,BW Linz,Tirol,2.0,1.0,H,,,,2.09,3.04,3.9,2.2,3.27,4.2,,,1482.5,1424.0,58.5,2906.5,0.0201,0,1,7,3,6,0.1111,0.4667,0.3333,0.4,-2,1,-5,0,-5,7,8,-1,0,1,1,0,0,0,0,3,31,4,3,2,3,0.5,9,1.6,1.2,0.9,1.0,1.2,1.7,0.6,1.0638,0.0769,0.0526,0.0769,0.2272,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,1,0,0,0
AUT,2025-03-02,16:00:00,Salzburg,Sturm Graz,3.0,1.0,H,,,,1.93,3.57,3.78,2.0,3.78,4.17,,,1748.4,1790.1,-41.7,3538.5,0.0118,0,5,9,4,8,0.5556,0.6,0.4444,0.5333,1,1,1,0,1,8,7,1,0,1,1,0,0,0,0,3,31,3,2,5,-6,0.2,10,1.9,2.1,0.8,1.7,1.6,1.3,0.2,1.0628,0.1032,0.0363,0.1032,0.0531,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,1,0,0,0
AUT,2025-03-09,16:00:00,Altach,Salzburg,1.0,1.0,D,,,,5.98,4.01,1.55,6.4,4.2,1.58,,,1418.2,1762.5,-344.3,3180.7,0.1082,1,4,4,7,11,0.4444,0.2667,0.7778,0.7333,-3,-7,4,3,1,8,7,1,0,2,1,0,0,0,0,3,32,0,8,2,-18,0.0,10,0.8,0.9,1.1,1.3,0.9,1.2,-0.5,1.0618,0.0702,0.0702,0.0194,0.0135,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,1,0,1
AUT,2025-03-09,16:00:00,Austria Vienna,A. Klagenfurt,2.0,0.0,H,,,,1.43,4.31,7.54,1.48,4.6,8.1,,,1657.8,1472.6,185.2,3130.5,0.0592,0,6,10,4,5,0.6667,0.6667,0.4444,0.3333,2,5,2,3,-1,8,7,1,0,1,1,0,0,0,0,3,32,3,1,6,4,0.4,10,2.4,1.8,0.9,0.9,0.8,2.3,1.5,1.0639,0.0743,0.035,0.0743,0.1556,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,1,0,0,1
AUT,2025-03-09,16:15:00,Grazer AK,Sturm Graz,1.0,2.0,A,,,,5.27,3.84,1.64,5.75,4.01,1.68,,,1449.0,1776.0,-327.0,3225.1,0.1014,1,1,4,3,7,0.1111,0.2667,0.3333,0.4667,-2,-3,-2,-1,-1,8,7,1,0,1,2,0,0,0,0,3,32,0,1,0,-3,0.5,1,0.7,1.2,1.8,1.6,1.6,1.5,-0.9,1.0599,0.0911,0.0911,0.0244,0.0065,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,0,1,0
AUT,2025-03-09,16:45:00,Hartberg,SK Rapid,2.0,1.0,H,,,,4.15,3.71,1.8,4.33,3.85,1.85,,,1525.8,1642.1,-116.3,3167.9,0.0367,0,2,6,3,4,0.2222,0.4,0.3333,0.2667,-1,2,-2,2,-4,8,8,0,0,2,2,0,0,0,0,3,32,4,5,1,-3,0.2,10,1.3,1.1,1.5,1.4,1.1,0.9,-0.1,1.0661,0.0434,0.0434,0.0278,0.2078,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,1,0,0,0
AUT,2025-03-09,16:00:00,LASK,Tirol,2.0,1.0,H,,,,1.48,4.23,6.69,1.51,4.39,8.0,,,1620.7,1416.8,203.8,3037.5,0.0671,1,7,8,2,3,0.7778,0.5333,0.2222,0.2,5,5,6,1,5,7,7,0,0,2,1,0,0,0,0,3,32,6,3,1,5,0.75,10,1.3,1.7,1.4,0.7,1.1,1.8,0.6,1.0616,0.1958,0.0203,0.1958,0.1922,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,1,0,0,0
AUT,2025-03-09,16:00:00,Wolfsberger AC,BW Linz,1.0,2.0,A,,,,1.92,3.41,4.07,2.0,3.6,4.5,,,1629.0,1489.7,139.4,3118.7,0.0447,0,7,13,3,7,0.7778,0.8667,0.3333,0.4667,4,6,1,-1,2,8,7,1,0,1,2,0,0,0,0,3,32,2,2,2,-2,0.5,6,1.2,1.2,1.2,0.6,0.7,1.6,0.6,1.0598,0.1057,0.0417,0.1057,0.278,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,0,1,0
